Name,lat,lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,hemisphere
Korla,41.76,86.15,55.0,43,99,4.0,CN,10/17/2020,north
Prince George,53.92,-122.75,30.2,74,1,5.82,CA,10/17/2020,north
Tuatapere,-46.13,167.68,53.01,66,95,7.0,NZ,10/17/2020,South
Mahébourg,-20.41,57.7,66.2,93,75,3.36,MU,10/17/2020,South
Ushuaia,-54.8,-68.3,42.8,81,40,9.17,AR,10/17/2020,South
Bosansko Grahovo,44.18,16.36,34.0,75,0,5.99,BA,10/17/2020,north
Broken Hill,-31.95,141.43,59.0,54,75,13.87,AU,10/17/2020,South
Yangi Marg`ilon,40.43,71.72,53.6,54,0,9.17,UZ,10/17/2020,north
Havøysund,71.0,24.66,30.2,92,100,8.05,NO,10/17/2020,north
Mataura,-46.19,168.86,53.01,66,72,7.0,NZ,10/17/2020,South
Vaini,-21.2,-175.2,77.0,83,75,17.22,TO,10/17/2020,South
Coahuayana Viejo,18.73,-103.68,79.72,85,100,1.52,MX,10/17/2020,north
Jamestown,42.1,-79.24,45.0,48,1,6.93,US,10/17/2020,north
Ugoofaaru,5.67,73.0,82.71,76,100,14.16,MV,10/17/2020,north
Punta Arenas,-53.15,-70.92,42.8,93,87,3.36,CL,10/17/2020,South
Arraial do Cabo,-22.97,-42.03,70.11,83,31,14.61,BR,10/17/2020,South
Busselton,-33.65,115.33,77.0,33,0,5.57,AU,10/17/2020,South
Barrow,71.29,-156.79,19.4,79,1,13.87,US,10/17/2020,north
West Bay,19.37,-81.42,86.0,79,20,13.87,KY,10/17/2020,north
Arica,-18.48,-70.3,62.01,80,74,0.63,CL,10/17/2020,South
Saskylakh,71.92,114.08,16.05,96,99,4.45,RU,10/17/2020,north
Springbok,-29.66,17.89,55.51,39,0,0.83,ZA,10/17/2020,South
Kapaa,22.08,-159.32,78.8,83,40,6.93,US,10/17/2020,north
Nabire,-3.37,135.48,80.46,87,100,5.23,ID,10/17/2020,South
Dunedin,-45.87,170.5,53.01,71,77,5.99,NZ,10/17/2020,South
Atar,20.52,-13.05,86.11,29,22,7.63,MR,10/17/2020,north
Tuktoyaktuk,69.45,-133.04,14.0,92,5,6.93,CA,10/17/2020,north
Peterhead,57.51,-1.8,46.0,87,90,9.17,GB,10/17/2020,north
Warrington,53.39,-2.58,50.0,93,98,3.36,GB,10/17/2020,north
Elmira,42.09,-76.81,42.01,80,1,4.34,US,10/17/2020,north
Kristiansund,63.11,7.73,41.0,65,87,42.5,NO,10/17/2020,north
Linden,6.0,-58.3,77.0,88,40,4.7,GY,10/17/2020,north
Usinsk,65.99,57.53,25.86,98,33,10.09,RU,10/17/2020,north
